Bug ID,Description,CWE-ID,Justification,Slide Link
27,Sensitive Information in Resource Not Removed Before Reuse,CWE-226,"Prevent clearing of shift registers on reset, allowing previous state to persist and leak sensitive data (e.g., P-code state). Add an input keep_state and modify the reset logic for sreg to retain its value if keep_state is high.",
28,Incorrect Default Permissions,CWE-276," Expose the AES key with a default setting that allows unauthorized access, simulating permissive permissions. Add an access_control register and an output key_out, exposing the key if not restricted.  Add new_key and update_key inputs, updating the AES key in cleartext.",
29,Cleartext Transmission of Sensitive Information,CWE-319,"Allow the AES key to be updated via an input port, simulating cleartext transmission over a sniffable channel.  Add new_key and update_key inputs, updating the AES key in cleartext.",
30,Missing Cryptographic Step,CWE-325,Weaken AES encryption by reducing the number of rounds (assuming aes_192 is configurable). Parameterize aes_192 to use 10 rounds instead of 12 (AES-192 standard).,
31,Expected Behavior Violation,CWE-440,"Alter P-code generation to produce an incorrect sequence, violating expected behavior. Change the feedback logic for the x1a shift register.",
32,Observable Discrepancy,CWE-203,"Introduces a timing discrepancy based on sensitive data (e.g., key bits), enabling side-channel attacks like timing analysis. Add a conditional delay based on a key bit.",
33,Sensitive Information in Resource Not Removed Before Reuse,CWE-226,"Fails to clear sensitive registers (e.g., intermediate results) upon reset, risking data leakage. Remove clearing of registers L, R, and FP_R on reset.",
34,Cleartext Transmission of Sensitive Information,CWE-319,"Exposes sensitive data (e.g., keys) in cleartext over an observable channel. Add output ports to expose key values.",
35,Missing Cryptographic Step,CWE-325,"Omits a critical step in DES (e.g., an S-box substitution), weakening encryption. Remove one S-box (e.g., sbox4) and fix its output.",
36,Expected Behavior Violation,CWE-440,"Alters the design to deviate from the DES specification (e.g., incorrect permutation). Modify the initial permutation (IP) to swap fewer bits.",
37,On-Chip Debug and Test Interface With Improper Access Control,CWE-1191,Adds an unprotected debug interface exposing internal states. Expose internal registers L and R as outputs.,
38,Internal Asset Exposed to Unsafe Debug Access Level or State,CWE-1244,"Exposes sensitive internal assets via debug outputs (similar to CWE-1191 but focused on assets). Sensitive round data is exposed, risking leakage via debug access.",
39,Use of a Cryptographic Primitive with a Risky Implementation,CWE-1240,Weakens DES3 by using the same key for all three stages. Force K to always use key1.,
